S2,S3,Objective
0.522222222,-0.085858586,0.521363636
0.536363636,-0.085858586,0.535505051
0.550505051,-0.085858586,0.549646465
0.564646465,-0.085858586,0.563787879
0.578787879,-0.085858586,0.577929293
0.592929293,-0.085858586,0.592070707
0.607070707,-0.085858586,0.606212121
0.621212121,-0.085858586,0.620353535
0.635353535,-0.085858586,0.634494949
0.649494949,-0.085858586,0.648636364
0.663636364,-0.085858586,0.662777778
0.677777778,-0.085858586,0.676919192
0.691919192,-0.085858586,0.691060606
0.706060606,-0.085858586,0.70520202
0.72020202,-0.085858586,0.719343434
0.734343434,-0.085858586,0.733484848
0.748484848,-0.085858586,0.747626263
0.762626263,-0.085858586,0.761767677
0.776767677,-0.085858586,0.775909091
0.790909091,-0.085858586,0.790050505
0.805050505,-0.085858586,0.804191919
0.819191919,-0.085858586,0.818333333
0.833333333,-0.085858586,0.832474747
0.847474747,-0.085858586,0.846616162
0.861616162,-0.085858586,0.860757576
0.875757576,-0.085858586,0.87489899
0.88989899,-0.085858586,0.889040404
0.904040404,-0.085858586,0.903181818
0.918181818,-0.085858586,0.917323232
0.932323232,-0.085858586,0.931464646
0.946464646,-0.085858586,0.945606061
0.960606061,-0.085858586,0.959747475
0.974747475,-0.085858586,0.973888889
0.988888889,-0.085858586,0.988030303
1.003030303,-0.085858586,1.002171717
1.017171717,-0.085858586,1.016313131
1.031313131,-0.085858586,1.030454545
1.045454545,-0.085858586,1.04459596
1.05959596,-0.085858586,1.058737374
1.073737374,-0.085858586,1.072878788
1.087878788,-0.085858586,1.087020202
1.102020202,-0.085858586,1.101161616
1.116161616,-0.085858586,1.11530303
1.13030303,-0.085858586,1.129444444
1.144444444,-0.085858586,1.143585859
1.158585859,-0.085858586,1.157727273
1.172727273,-0.085858586,1.171868687
1.186868687,-0.085858586,1.186010101
1.201010101,-0.085858586,1.200151515
1.215151515,-0.085858586,1.214292929
1.229292929,-0.085858586,1.228434343
1.243434343,-0.085858586,1.242575758
1.257575758,-0.085858586,1.256717172
1.271717172,-0.085858586,1.270858586
1.285858586,-0.085858586,1.285
1.3,-0.085858586,1.299141414
-0.1,-0.071717172,-0.100717172
-0.085858586,-0.071717172,-0.086575758
-0.071717172,-0.071717172,-0.072434343
-0.057575758,-0.071717172,-0.058292929
-0.043434343,-0.071717172,-0.044151515
-0.029292929,-0.071717172,-0.030010101
-0.015151515,-0.071717172,-0.015868687
-0.001010101,-0.071717172,-0.001727273
0.013131313,-0.071717172,0.012414141
0.027272727,-0.071717172,0.026555556
0.041414141,-0.071717172,0.04069697
0.055555556,-0.071717172,0.054838384
0.06969697,-0.071717172,0.068979798
0.083838384,-0.071717172,0.083121212
0.097979798,-0.071717172,0.097262626
0.112121212,-0.071717172,0.11140404
0.126262626,-0.071717172,0.125545455
0.14040404,-0.071717172,0.139686869
0.154545455,-0.071717172,0.153828283
0.168686869,-0.071717172,0.167969697
0.182828283,-0.071717172,0.182111111
0.196969697,-0.071717172,0.196252525
0.211111111,-0.071717172,0.210393939
0.225252525,-0.071717172,0.224535354
0.239393939,-0.071717172,0.238676768
0.253535354,-0.071717172,0.252818182
0.267676768,-0.071717172,0.266959596
0.281818182,-0.071717172,0.28110101
0.295959596,-0.071717172,0.295242424
0.31010101,-0.071717172,0.309383838
0.324242424,-0.071717172,0.323525253
0.338383838,-0.071717172,0.337666667
0.352525253,-0.071717172,0.351808081
0.366666667,-0.071717172,0.365949495
0.380808081,-0.071717172,0.380090909
0.394949495,-0.071717172,0.394232323
0.409090909,-0.071717172,0.408373737
0.423232323,-0.071717172,0.422515152
0.437373737,-0.071717172,0.436656566
0.451515152,-0.071717172,0.45079798
0.465656566,-0.071717172,0.464939394
0.47979798,-0.071717172,0.479080808
0.493939394,-0.071717172,0.493222222
0.508080808,-0.071717172,0.507363636
0.522222222,-0.071717172,0.521505051
0.536363636,-0.071717172,0.535646465
0.550505051,-0.071717172,0.549787879
0.564646465,-0.071717172,0.563929293
0.578787879,-0.071717172,0.578070707
0.592929293,-0.071717172,0.592212121
0.607070707,-0.071717172,0.606353535
0.621212121,-0.071717172,0.620494949
0.635353535,-0.071717172,0.634636364
0.649494949,-0.071717172,0.648777778
0.663636364,-0.071717172,0.662919192
0.677777778,-0.071717172,0.677060606
0.691919192,-0.071717172,0.69120202
0.706060606,-0.071717172,0.705343434
0.72020202,-0.071717172,0.719484848
0.734343434,-0.071717172,0.733626263
0.748484848,-0.071717172,0.747767677
0.762626263,-0.071717172,0.761909091
0.776767677,-0.071717172,0.776050505
0.790909091,-0.071717172,0.790191919
0.805050505,-0.071717172,0.804333333
0.819191919,-0.071717172,0.818474747
0.833333333,-0.071717172,0.832616162
0.847474747,-0.071717172,0.846757576
0.861616162,-0.071717172,0.86089899
0.875757576,-0.071717172,0.875040404
0.88989899,-0.071717172,0.889181818
0.904040404,-0.071717172,0.903323232
0.918181818,-0.071717172,0.917464646
0.932323232,-0.071717172,0.931606061
0.946464646,-0.071717172,0.945747475
0.960606061,-0.071717172,0.959888889
0.974747475,-0.071717172,0.974030303
0.988888889,-0.071717172,0.988171717
1.003030303,-0.071717172,1.002313131
1.017171717,-0.071717172,1.016454545
1.031313131,-0.071717172,1.03059596
1.045454545,-0.071717172,1.044737374
1.05959596,-0.071717172,1.058878788
1.073737374,-0.071717172,1.073020202
1.087878788,-0.071717172,1.087161616
1.102020202,-0.071717172,1.10130303
1.116161616,-0.071717172,1.115444444
1.13030303,-0.071717172,1.129585859
1.144444444,-0.071717172,1.143727273
1.158585859,-0.071717172,1.157868687
1.172727273,-0.071717172,1.172010101
1.186868687,-0.071717172,1.186151515
1.201010101,-0.071717172,1.200292929
1.215151515,-0.071717172,1.214434343
1.229292929,-0.071717172,1.228575758
1.243434343,-0.071717172,1.242717172
1.257575758,-0.071717172,1.256858586
1.271717172,-0.071717172,1.271
1.285858586,-0.071717172,1.285141414
1.3,-0.071717172,1.299282828
-0.1,-0.057575758,-0.100575758
